ค้ดม,ด๚ฏธ,ด๚ถต,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,จFณภ,AMB_TEMP,17.5,17.4,17.6,17.9,18.2,18.6,18.6,19.4,21.4,22.2,22.2,23.4,23.6,23.5,22.6,22.1,21.2,19.9,19.6,19.1,18.5,18,17.5,16.8
1998/1/1,จFณภ,CO,0.5,0.6,0.7,0.7,0.8,0.9,1,1.2,1.3,0.9,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.8,1,0.9,1,1,0.9,1
1998/1/1,จFณภ,DEW_POINT,17,17,17.1,17.3,17.4,17.7,17.8,18.3,19.5,20,19.9,20.4,20.1,19.9,19.7,19.3,18.6,18.3,18.2,17.8,17.3,17,16.4,15.9
1998/1/1,จFณภ,NO,0.9,1.3,1.4,#,11.6,14.5,30.4,46.3,39.2,14.3,2.8,2.5,2.2,0.1,0.2,0.4,0.1,0,0.7,1.4,5.9,5.8,2.8,2
1998/1/1,จFณภ,NO2,14.3,18.2,21.7,#,30.6,31.5,30.9,34.4,42.9,31,15.4,15,16,7.8,9.6,15.1,16.8,21,32.3,36.3,37.8,34.5,28.2,27.5
1998/1/1,จFณภ,NOx,15.2,19.5,23,#,42.3,46,61.2,80.7,82,45.3,18.2,17.5,18.1,7.8,9.7,15.5,16.8,21,33,37.7,43.7,40.3,31,29.5
1998/1/1,จFณภ,O3,18,11.6,4.8,1.3,0.9,1.1,#,2.5,6.3,19.1,32.2,36.6,47.1,62.5,56.4,52.7,48.5,36.8,17.8,7.6,3.1,1.6,2.1,2
1998/1/1,จFณภ,PM10,74,84,98,109,110,120,119,112,113,124,128,107,89,76,58,58,59,63,78,93,90,96,89,67
1998/1/1,จFณภ,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,จFณภ,SHELT_TEMP,26.4,26.5,26.2,26.1,26.4,26.4,26.1,26.7,26.7,26.7,26.7,26.8,26.7,26.8,26.7,26.4,26.5,26.3,26.4,26.1,26.3,26.4,26.6,26.8
1998/1/1,จFณภ,SIGMA,999,30.5,13.3,999,8.9,999,28.8,30.4,13.3,14.8,13.3,16.1,14.7,13.3,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,10.4
1998/1/1,จFณภ,SO2,2,2.2,2.8,4.8,7.4,7.3,10.6,18.5,21.1,11.3,4.1,7.2,9.6,3.6,3.4,5.9,5.9,5.7,6.2,6.4,6.9,5.3,4.8,5
1998/1/1,จFณภ,WD_GLOBAL,1.6,47.9,110.3,999,153.3,999,68.3,26.7,27.1,4.8,10.8,359.4,9.6,9.1,14.5,12.8,16.3,19,32.3,23.5,27,20.6,18.9,15
1998/1/1,จFณภ,WIND_DIREC,888,59,100,999,155,999,65,24,25,8,13,360,12,11,16,13,16,17,31,22,24,18,17,16
1998/1/1,จFณภ,WIND_SPEED,0.2,0.6,0.6,0,0.5,0,0.7,0.6,1.6,2.2,2.6,2.2,2.7,3.3,4.3,4,3.8,3.5,3.2,2.9,2.8,2.2,2.3,1.8
1998/1/2,จFณภ,AMB_TEMP,16.4,16.3,16.4,16.5,16.6,16.7,16.5,16.9,18.2,19.4,21.1,23,23.1,22.5,21.8,21.4,20.6,19.6,19,18.6,18.4,18.3,18.2,18
1998/1/2,จFณภ,CO,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.7,1,1,1,1,1,1.1,1.1
1998/1/2,จFณภ,DEW_POINT,15.5,15.1,14.9,14.9,15,15.2,15.1,15.4,16.2,16.8,17.5,18.1,18.3,18.3,18.3,18.2,18,17.8,17.7,17.5,17.3,17.2,17.1,16.9
1998/1/2,จFณภ,NO,0.5,0.1,0,#,0.2,0.2,0.1,2.8,14.2,10.8,8.1,4.7,2.2,1.5,1.4,1.3,1.6,0.3,0.6,0.6,3.1,4.8,19.7,27.8
1998/1/2,จFณภ,NO2,25.8,18,18.9,#,15.1,15.2,16.5,21.2,26.6,24,22.6,22.1,23.5,20.2,17.2,17.7,25.8,27.7,30.6,29.9,33.7,34.5,38.1,37.9
1998/1/2,จFณภ,NOx,26.3,18.1,18.9,#,15.3,15.3,16.7,24,40.8,34.7,30.7,26.8,25.8,21.7,18.6,19,27.4,28,31.1,30.6,36.8,39.2,57.8,65.7
1998/1/2,จFณภ,O3,4.3,13.6,14.5,16.4,16.9,15.3,#,13.1,11,17.5,25.3,39.6,60.8,62.7,53.9,45.6,32.2,26.8,17.6,12,5.7,3.3,0.9,0.8
1998/1/2,จFณภ,PM10,47,38,38,39,46,48,46,56,54,58,75,83,86,97,101,98,87,88,95,93,88,89,90,93
