¤é´Á,´ú¯¸,´ú¶µ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,¥j«F,AMB_TEMP,17.9,17.6,17.7,17.7,17.8,17.9,17.9,18.1,19.2,19.8,20.3,22.6,22.1,20.7,19.4,18.6,17.8,17.2,16.7,16.2,16.2,16.3,16.3,16.3
1998/1/1,¥j«F,CH4,2,2.1,2.2,2.5,2.3,2.6,2.4,2.2,2.3,2,2.1,2.1,2,2,2.1,2,2,2.1,2.1,2.1,2.1,2,2.1,2.1
1998/1/1,¥j«F,CO,1.4,1.2,1,1.1,1,1.2,1.3,1.4,1.4,0.9,1.3,1.3,0.8,0.8,1.1,0.9,0.9,1.2,1.1,1.1,1,1,1,0.8
1998/1/1,¥j«F,NMHC,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.3,0.6,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
1998/1/1,¥j«F,NO,42.8,42.6,27.6,#,31.2,46.6,65.7,82,55,13.2,38.6,29.7,4.9,1.5,10.4,5.4,6.2,10.6,7.6,5.4,6.4,6.1,5.5,1.8
1998/1/1,¥j«F,NO2,15.7,13.9,16,#,16.4,17.9,17.8,14.8,25.8,27.4,33.9,38.6,26,20.1,32.5,27.7,26.1,24.5,24.2,23.9,25.9,24.5,24.2,16
1998/1/1,¥j«F,NOx,58.4,56.5,43.6,#,47.6,64.5,83.5,96.8,80.7,40.6,72.5,68.4,30.9,21.7,42.9,33.2,32.3,35.1,31.8,29.3,32.4,30.5,29.7,17.8
1998/1/1,¥j«F,O3,0.9,1.1,1.1,1,1,1.3,#,2.7,3.5,12.3,8.5,14.7,29.2,32.3,14.5,23.4,16.6,11.4,15.4,19.1,18.1,19.8,18.4,26.3
1998/1/1,¥j«F,PM10,37,30,29,26,30,28,34,65,64,104,96,107,107,84,87,82,69,63,44,46,31,31,49,37
1998/1/1,¥j«F,PM2.5,17.6,23.3,32.2,22.7,19.8,29.2,49,43.6,36.9,48.2,67,56,51.2,50.5,55.5,47.6,38.5,36.4,42.5,34.8,35.6,43.4,58.7,43.6
