日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,大同,AMB_TEMP,20.6,20,19.5,19.4,19.2,18.9,19.1,19.3,20.1,21.2,21.2,22.6,21.9,21,20.2,20.1,19.6,18.8,18.3,17.7,17.5,17.5,17.5,17.3
1998/1/1,大同,CH4,2.7,2.5,2.7,2.6,2.5,2.7,3.7,3.7,2.7,2.4,2.5,2.4,2.2,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
1998/1/1,大同,CO,7,4.5,2.1,1.1,0.8,1.1,1.1,1.3,1.5,1.6,2.4,2.1,1.4,1.2,2.5,4.6,4.5,4.7,4,3.5,3.2,3.7,3.4,2.6
1998/1/1,大同,NMHC,3,2.8,1,0.5,0.4,0.4,0.6,0.7,0.6,0.6,0.8,0.8,0.5,0.5,1,1.9,2.3,1.9,1.5,1.5,1.2,1.4,1.5,1
1998/1/1,大同,NO,301.3,201.5,73.7,23.2,7.9,34.7,#,46.2,46,43.8,76.5,61.6,34.8,14.9,88.1,207.7,175.8,172.4,155,132.6,130,127.7,132.1,87.2
1998/1/1,大同,NO2,30.5,26.1,31.1,29.8,27.6,31.4,#,30.2,31.9,32.3,40.1,42.3,31.7,28.8,37,50.6,43.9,36.9,39.3,40,38.4,47.3,35.7,29.1
1998/1/1,大同,NOx,331.7,227.6,104.9,52.9,35.5,66.1,#,76.4,77.9,76,116.6,103.9,66.5,43.7,125.1,258.3,219.7,209.3,194.3,172.6,168.5,175,167.9,116.3
1998/1/1,大同,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/1,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,大同,SO2,13.5,9.3,7,7.4,6.2,6.3,7.2,9.2,10.5,7,9.3,10.6,6.1,3.2,4.3,7.7,6.6,6.6,6.4,6,5.6,6,6,4.3
1998/1/1,大同,THC,5.7,5.3,3.7,3.1,2.9,3.1,4.2,4.4,3.3,3,3.3,3.2,2.7,2.6,3.2,4.2,4.6,4.2,3.8,3.8,3.5,3.8,3.8,3.3
1998/1/2,大同,AMB_TEMP,17.4,17.4,17.3,17.2,17.2,17.4,17.7,18.1,18.7,19.6,20.9,22,22.1,21.9,21.5,21.4,20.9,20.5,20.6,20.5,20.6,20.8,20.7,20.6
1998/1/2,大同,CH4,2.4,2.4,2.4,2.3,2.3,2.3,2.4,2.3,2.4,2.4,2.3,2.3,2.3,2.2,2.3,2.3,2.3,2.3,2.4,2.3,2.4,2.4,2.4,2.4
1998/1/2,大同,CO,2.3,1.7,1.5,1.4,1.4,1.7,2.2,4.8,6,4.9,4.5,4.1,3.3,3.5,3.5,4.1,4.8,6.6,7.2,6.2,5.6,6.3,6,4.8
1998/1/2,大同,NMHC,0.9,0.7,0.5,0.4,0.4,0.9,0.8,2.1,3.6,2.5,2,1.9,1.4,2,1.6,1.8,2,3.1,3.7,3.1,2.6,3.1,3,2.1
1998/1/2,大同,NO,61.8,39.3,32.3,29.3,24.8,38.1,#,221.9,240.5,206,176.9,176,139.2,147.3,139.7,161.8,198.6,219.8,245.5,246.5,236.7,252.7,232.8,177
1998/1/2,大同,NO2,30.9,28,26.3,26.5,22.8,30.1,#,50.3,51,44.6,45.9,49.4,43.2,36.1,34.6,47.6,45.6,58.5,49.8,48.1,44.1,39.9,41.2,42.5
1998/1/2,大同,NOx,92.7,67.3,58.5,55.8,47.6,68.2,#,272.1,291.5,250.6,222.9,225.4,182.5,183.4,174.3,209.4,244.2,278.3,295.3,294.6,280.9,292.6,274,219.5
1998/1/2,大同,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/2,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,大同,SO2,3,2.4,1.9,1.9,1.5,2.5,6,9.7,10.2,9.7,9.9,10.5,10.6,11.2,11.2,12.7,14.7,14.2,13.1,12,16.3,23,18.3,14.8
1998/1/2,大同,THC,3.3,3,2.8,2.6,2.7,3.2,3.2,4.4,6,4.8,4.4,4.2,3.7,4.2,3.9,4,4.3,5.4,6.1,5.5,5,5.5,5.4,4.4
1998/1/3,大同,AMB_TEMP,20.5,20.3,20.1,19.7,19.4,18.7,18.5,19.5,21,22,24.5,27.5,28.1,26.8,25.8,24.6,22.3,21.4,20.9,20.8,20.5,20.6,21.1,21.3
1998/1/3,大同,CH4,2.3,2.3,2.4,2.4,2.5,2.8,2.9,2.5,2.5,2.6,2.3,2.2,2.4,2.4,2.2,2.2,2,2.4,2.5,2.4,2.7,3,2.6,2.4
1998/1/3,大同,CO,4.1,2.6,2.4,2.3,2.1,1.3,2.1,5.6,8,4,3.8,3.6,3.4,2.8,2.5,2.4,1.8,3.1,2.9,2.1,2.7,3.9,6.8,7.2
1998/1/3,大同,NMHC,1.4,1.5,0.9,1.1,0.9,0.6,0.9,2.9,3.3,1.8,1.8,1.9,2.1,1.1,1.1,0.9,0.8,1.5,1.1,0.9,1.3,1.7,3,3.8
1998/1/3,大同,NO,141.2,91.5,82.4,88.6,70.6,51.3,#,255.7,295.3,85.3,58.4,60.9,35.1,43.3,56.3,50.2,14,42.6,46.2,19.7,39.6,111.1,252,278.4
1998/1/3,大同,NO2,36.8,41.9,38.8,40,36.7,35.1,#,37.1,44.8,68.8,87,77.7,81.6,78.5,61.9,58.5,38.6,57.3,54.9,56.5,60.4,61.7,48.6,37.4
1998/1/3,大同,NOx,178,133.3,121.2,128.6,107.4,86.4,#,292.8,340.1,154.1,145.4,138.6,116.7,121.8,118.2,108.7,52.6,99.9,101.1,76.2,100.1,172.8,300.6,315.8
1998/1/3,大同,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/3,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/3,大同,SO2,10.1,10.6,13.8,13.1,9.8,6.4,6.4,9.7,12,5.4,5.6,6.1,7.8,8.7,11.1,7.4,4,4.2,4.3,4.5,4.8,7,10.8,9.6
1998/1/3,大同,THC,3.7,3.8,3.3,3.4,3.3,3.4,3.8,5.4,5.7,4.4,4.1,4.1,4.5,3.5,3.3,3.2,2.9,3.9,3.6,3.3,4,4.7,5.6,6.2
1998/1/4,大同,AMB_TEMP,20.5,19.3,19.1,19,18.9,18.7,19.9,19.6,18.4,18,17.4,17.4,17.1,17.3,16.8,17.2,17.1,16.8,15.6,14.2,13.2,13.2,13.1,13.2
1998/1/4,大同,CH4,3.2,2.8,2.6,2.9,3.4,4.3,3.5,2.5,2.3,2.4,2.3,2.3,2.3,2.3,2.1,2.3,2.2,2.3,2.2,2.2,2.2,2.3,2.3,2.3
1998/1/4,大同,CO,4.8,1.9,1.6,2.4,3,2.8,4.5,3.1,3.1,3.6,2.9,2.9,3.4,3.4,2.7,4,3,3.8,2.6,1.9,1.9,3.1,2.6,2.2
1998/1/4,大同,NMHC,2.3,0.9,0.6,1.1,1.7,1.6,2.2,1.2,1.2,1.4,1.3,1.2,1.4,1.6,0.9,1.6,0.9,1.7,0.8,0.6,0.9,1.3,1,1.1
1998/1/4,大同,NO,171.8,48,27.1,89.2,130.3,125.2,#,134.8,124.1,139.9,116.9,127.3,147.4,147.8,114.7,190,132.3,150.9,108.4,108.7,94.7,154.7,121.5,89.2
1998/1/4,大同,NO2,35,39.2,35.7,34.5,33.2,35.5,#,33.5,37,35.5,36.7,32.1,32.5,32.1,41.2,38,35.5,36.2,26.8,34,26.5,31.8,35.1,32.4
1998/1/4,大同,NOx,206.9,87.2,62.8,123.7,163.5,160.7,#,168.3,161,175.4,153.6,159.4,179.9,179.9,155.9,228,167.9,187.1,135.2,142.7,121.1,186.5,156.6,121.6
1998/1/4,大同,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/4,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/4,大同,SO2,6.2,4.7,5.8,7.4,8.4,8.9,13.4,9.7,7.4,8.2,6.7,6.1,6.1,5.9,4.3,6.1,4.8,5.3,3.6,4.6,3.8,4.7,3.8,3.2
1998/1/4,大同,THC,5.5,3.7,3.2,4.1,5.1,5.9,5.8,3.7,3.5,3.8,3.6,3.5,3.7,3.9,3,3.9,3.1,4,3,2.8,3.1,3.6,3.3,3.4
1998/1/5,大同,AMB_TEMP,13.3,13.1,13,13.2,13.4,13.7,14,14.7,15.2,15.7,16.2,16,16.1,16,15.9,15.7,16,15.9,15.9,16.1,16,15.8,15.5,15.2
1998/1/5,大同,CH4,2.3,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.5,2.4,2.4,2.3,2.3,2.3,#,#,#,#,#,1.7,2.2,2.2,2.2,2.2
1998/1/5,大同,CO,1.6,0.9,1,0.6,1.3,1.4,2.2,6.1,5.6,5,5.7,5.9,5.2,5.2,#,#,6.1,7.3,7,6.3,4.7,4.7,4.5,2.6
1998/1/5,大同,NMHC,0.5,0.5,0.4,0.2,0.5,0.6,1,3.3,2.3,1.9,2.6,3.3,2.6,2.9,#,#,#,#,#,2.9,2.4,2.3,2.2,0.9
1998/1/5,大同,NO,60.6,32.3,29.3,10,37.4,42.9,#,263.8,226.8,250.4,283.1,297.9,246.6,253.6,264,#,299.8,270.1,264.3,276.8,214.9,193,169.2,97.5
1998/1/5,大同,NO2,24.8,21.4,21.1,20.7,26.1,25.1,#,38.8,53.3,47.3,42.5,41.2,46.5,41.9,38.8,#,50.5,57.8,50.3,39.2,46.3,40.9,37.5,32.9
1998/1/5,大同,NOx,85.4,53.8,50.4,30.7,63.5,68,#,302.7,280.1,297.7,325.7,339,293.1,295.5,302.8,#,350.2,327.9,314.6,316,261.2,233.9,206.7,130.4
1998/1/5,大同,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/5,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,#,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/5,大同,SO2,1.8,1.2,1,0.7,0.9,1.4,5.2,8.7,9.9,10.4,9.8,9,8.1,8.2,7.8,#,#,12.7,12.6,12.5,10.8,9.3,8,4.6
1998/1/5,大同,THC,2.8,2.7,2.6,2.5,2.8,2.8,3.3,5.6,4.8,4.3,5,5.6,5,5.2,#,#,#,#,#,4.6,4.6,4.5,4.4,3.1
1998/1/6,大同,AMB_TEMP,15.2,15.6,15.8,15.8,15.6,15.4,15.5,16,17,18.2,19.2,20,20.1,19.3,19.5,19.1,18.6,18.5,18.8,18.9,18.9,18.7,18.7,18.5
1998/1/6,大同,CH4,2.2,2.2,2.3,2.3,2.2,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.1,2.2,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.2,2.2,2.2
1998/1/6,大同,CO,2,1.5,1.5,1.3,0.9,1.3,2.1,6,6.3,4.6,3.9,3.7,3.5,3.9,4.4,5.3,5.9,8.4,8,5.1,5.1,5.9,5.9,4
1998/1/6,大同,NMHC,0.8,0.5,1.1,0.7,0.4,0.5,1.1,3.4,2.7,1.8,1.9,1.8,2.1,2.3,1.8,2.8,2.9,3.4,3.3,2.1,2.9,2.8,3.3,1.7
1998/1/6,大同,NO,55.1,42.6,42.5,36.9,24.9,43.4,#,258.1,241.5,200.9,167.6,189.5,163.4,153.6,194.8,216.8,226.2,260.4,237.8,175.4,177.8,192.3,168.8,116.5
1998/1/6,大同,NO2,36.4,33.7,37,33.3,26.6,#,#,45.3,39.8,41.4,41.4,37.7,42.1,49.4,46.2,50.3,47.4,51,50.2,42.8,45.1,49.7,37.2,35.4
1998/1/6,大同,NOx,91.6,76.4,79.6,70.3,51.4,75.6,#,303.4,281.4,242.3,209,227.2,205.5,203,241,267.1,273.6,311.3,287.9,218.3,223,242,206.1,151.9
1998/1/6,大同,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/6,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/6,大同,SO2,3.1,2.7,2.4,1.9,1.5,2.6,5.2,8.7,9.2,8.6,8.1,16.9,12.1,13.5,14.5,11.5,13.7,18.8,18.3,12,11.1,11.6,11.2,6.7
1998/1/6,大同,THC,2.9,2.7,3.3,2.9,2.6,2.7,3.3,5.7,4.9,4,4.1,4,4.2,4.5,4.1,5,5.2,5.7,5.5,4.3,5.1,4.9,5.5,3.9
1998/1/7,大同,AMB_TEMP,18.1,17.9,18,17.9,18.2,18.1,17.9,18.4,20.7,21.9,23.6,25.7,25.9,26.5,24.5,21.4,20.8,20.5,20.3,20.4,20.3,20,19.6,19.1
1998/1/7,大同,CH4,2.3,2.3,2.5,2.4,2.3,2.4,2.6,2.6,2.5,2.3,2.2,#,#,#,#,2.1,2.1,2.3,2.3,2.5,2.5,2.7,3.4,3.7
1998/1/7,大同,CO,3.4,1.8,1.6,1.8,1.4,1,1.2,3.4,9.8,6.2,4.8,4.7,4.8,4.8,1.8,1.5,1.8,2.5,2.2,2.6,2.4,3.2,3.9,3.4
1998/1/7,大同,NMHC,1.6,0.7,0.6,0.8,0.7,0.5,0.6,1.3,4,2.3,2,#,#,#,#,0.9,0.9,1.4,1,1.2,1.2,1.8,2.2,2.3
1998/1/7,大同,NO,82.2,48.9,39.4,47.3,36.4,36.7,#,130.7,300.4,196.3,193,160.4,177.6,147.5,22.5,13.3,26.9,44.5,32.4,60.8,51.2,99.1,127.2,126.9
1998/1/7,大同,NO2,36.2,32.9,32.1,30.5,28.7,33.2,#,37.7,45.4,46.9,48.1,53.1,46.5,50.1,36.1,29.2,34,48.8,48.7,48.1,47.6,43.5,41.2,39.8
1998/1/7,大同,NOx,118.3,81.8,71.5,77.8,65.1,69.9,#,168.4,345.9,243.3,241.1,213.5,224.1,197.6,58.6,42.5,60.9,93.2,81.1,108.9,98.8,142.7,168.4,166.7
1998/1/7,大同,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/7,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/7,大同,SO2,4.2,2.9,2.7,3.4,3.9,6.7,5.7,9.3,33.7,26.6,16.8,13.2,15.7,15.6,5.8,3.5,4.5,6.1,5.6,6.2,8.6,14.4,13.8,11.4
1998/1/7,大同,THC,3.9,3,3.1,3.2,3,2.8,3.2,4,6.4,4.5,4.2,#,#,#,#,3,3,3.7,3.3,3.7,3.8,4.5,5.6,6
1998/1/8,大同,AMB_TEMP,18.9,18.7,18.2,17.6,17.7,18,18.3,19.3,20.2,20.7,20.2,20.9,24.5,25.5,23.8,23.9,23.3,22,21.5,20.5,20.1,19.8,19.5,19.4
1998/1/8,大同,CH4,4.3,3.9,7.5,7.1,4.7,5.1,3.8,3.6,2.9,2.7,2.3,2.5,2.4,2.5,2.3,2.2,2.3,2.3,2.4,2.3,2.3,2.3,2.2,2.2
1998/1/8,大同,CO,5,2.9,2.2,2.4,2.6,2.3,2.4,8.3,7.4,2.4,1.6,4.2,5.4,2.4,2.2,1.6,1.9,2.8,9,5.9,4.6,4.8,3.8,2.9
1998/1/8,大同,NMHC,2.7,1.7,2,1.1,1.8,2,1.7,4.4,3.3,1.3,0.6,1.5,3.7,1.1,0.7,0.8,0.9,1.4,4,2.2,2.1,2,1.6,1
1998/1/8,大同,NO,198.2,130.5,101.3,113.3,150.5,132.4,#,342.3,273.8,63,24.9,150.3,187.1,54.7,50.2,27.5,42.6,60,269.3,182.4,148.8,156.6,119.8,81.1
1998/1/8,大同,NO2,31.2,26.5,26,29.2,21.9,22.6,#,57.1,55.1,54.2,39.8,58,64.2,62.4,45.7,39.8,45.6,60,77.3,78.2,58,52.1,46.4,42.2
1998/1/8,大同,NOx,229.4,157,127.3,142.5,172.4,154.9,#,399.3,328.8,117.2,64.6,208.3,251.3,117.1,95.9,67.2,88.2,119.9,346.6,260.6,206.8,208.7,166.2,123.3
