日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/31,林口,AMB_TEMP,13,13,13.2,13.4,13.3,13.3,13.3,13.6,14.3,15.9,17,18.2,18.7,18.6,18.5,18.1,17.8,17,16.3,16.3,15.8,15.7,15.8,16.3
1998/1/31,林口,CO,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.4,0.6,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.9
1998/1/31,林口,NO,0.4,0.6,0.5,#,0,0,0,0,1.6,5.1,3.2,2.2,2.3,2.3,2.9,2.3,2.2,0.8,0.4,0.2,0,0,3.1,17.8
1998/1/31,林口,NO2,13.7,18.8,12,#,12.3,5.7,3.6,2.9,11.2,23.6,15.5,10.7,10.3,11.6,14.5,15.4,20.7,21.5,21.4,24.4,8.8,5.5,20.6,40.6
1998/1/31,林口,NOx,14.2,19.4,12.5,#,12.3,5.8,3.7,2.9,12.9,28.7,18.8,13,12.6,13.9,17.4,17.7,22.9,22.2,21.8,24.6,8.8,5.5,23.8,58.4
1998/1/31,林口,O3,24.1,17.7,25.1,23.7,20.5,27.5,#,30.1,23.4,22.5,30.5,35.9,36.4,35.3,32.9,30.7,24.6,22.6,21.5,16.8,23.8,26,12.6,2.2
1998/1/31,林口,PM10,8,8,8,8,8,8,8,8,8,15,23,22,20,16,15,16,13,12,13,13,19,20,25,27
1998/1/31,林口,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/31,林口,SO2,0.1,0.1,0.1,0,0,0,0,0,0.2,0.8,0.4,0.2,0.3,0.3,0.6,0.9,1.2,0.9,0.6,0.9,0.2,0.1,1.4,4.3
1998/1/31,林口,WIND_DIREC,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,999,999
1998/1/31,林口,WIND_SPEED,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0,0
1998/2/1,林口,AMB_TEMP,16.18,15.99,14.84,13.49,13.42,13.6,13.89,14.26,14.4,14.35,14.17,14.58,14.66,14.39,14.19,13.95,13.75,13.7,13.66,13.53,13.5,13.58,13.86,13.7
1998/2/1,林口,CO,0.51,0.26,0.21,0.17,0.14,0.19,0.23,0.26,0.18,0.17,0.18,0.19,0.17,0.15,0.17,0.2,0.22,0.25,0.28,0.3,0.32,0.42,0.5,0.43
1998/2/1,林口,NO,1.07,0.01,0.01,0#,0.02,0.04,0.05,0.3,0.11,0.05,0.08,0.04,0.01,0.09,0.12,0.22,0.08,0.04,0.01,0.01,0.01,0.01,0.45,0.21
1998/2/1,林口,NO2,19.27,2.35,2.41,.86#,1.84,2.28,2.59,5.28,2.9,4.14,2.38,2.41,1.89,3.13,3.29,4.66,4.36,4.04,4.32,4.24,5.18,10.81,22.91,19.32
1998/2/1,林口,NOx,20.33,2.36,2.42,.86#,1.85,2.31,2.65,5.58,3.02,4.19,2.46,2.45,1.91,3.23,3.41,4.88,4.45,4.07,4.33,4.24,5.18,10.82,23.36,19.52
1998/2/1,林口,O3,15.2,34.6,34.2,36.7,35.6,34.6,32.6#,32.7,34.5,34.2,37.8,37.3,37.5,37.3,37.3,34.7,34.9,35.7,34.3,32.9,30.7,24.1,17,20.4
1998/2/1,林口,PM10,23,19,18,15,10,8,13,21,23,18,11,8,8,8,8,8,8,8,8,8,8,13,14,12
1998/2/1,林口,RAINFALL,NR,NR,0.2,0.2,0.2,NR,NR,0.2,0.2,NR,NR,NR,NR,0.4,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/2/1,林口,SO2,1.7,0.1,0.1,0,0,0.3,0.4,0.8,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.4,0.4,0.4
1998/2/1,林口,WIND_DIREC,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1998/2/1,林口,WIND_SPEED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998/2/2,林口,AMB_TEMP,13.77,13.81,13.81,14.02,14.31,14.59,14.79,15.58,17.6,20.34,19.31,19.59,18.37,17.2,16.76,16.01,15.25,14.97,14.89,14.96,15.28,15.31,15.34,15.42
1998/2/2,林口,CO,0.39,0.31,0.35,0.31,0.3,0.3,0.34,0.46,0.74,0.6,0.5,0.32,0.31,0.29,0.3,0.32,0.26,0.24,0.36,0.49,1.16,1.03,1.23,1.18
1998/2/2,林口,NO,0.18,0.13,0.05,.02#,0.01,0.01,0.12,1.08,8.67,7.41,9.22,2.48,0.23,0.04,0.03,0.12,0.04,0.02,0.01,1.23,14.77,8.22,35.31,41.21
1998/2/2,林口,NO2,14.38,10.58,10.31,7.3#,6.67,8.5,11.68,15.21,25.78,21.64,22.52,11.53,5.14,2.74,2.95,3.17,2.45,3.13,5.95,12.27,36.38,37.96,38.02,41.14
1998/2/2,林口,NOx,14.56,10.7,10.36,7.33#,6.68,8.51,11.8,16.28,34.45,29.05,31.75,14.01,5.37,2.78,2.99,3.29,2.49,3.15,5.96,13.5,51.15,46.18,73.33,82.34
1998/2/2,林口,O3,24.6,28.3,27.9,30.7,31.3,30.3,27.8#,25,19,24.1,23.3,33.4,37.7,36.8,34.1,35.7,36.1,35.3,30.9,20.9,4.7,3.3,2.7,2.8
1998/2/2,林口,PM10,10,9,8,8,8,11,13,15,22,23,21,20,17,21,9,1,9,8,8,8,9,24,30,36
