日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,萬里,AMB_TEMP,19,18.8,18,18.2,17.7,18.2,19,19.3,20.3,21.1,20.7,20,18.9,18.7,18.8,18.3,17.5,17.1,16.6,16.9,17,17,17.1,17.1
1998/1/1,萬里,CH4,2.6,2.6,2.5,2.6,2.6,2.6,2.4,2.6,2.4,2.7,2.4,2.2,2.1,2.2,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2
1998/1/1,萬里,CO,1.6,1.3,1.2,1.2,0.9,0.9,0.5,0.7,0.5,0.8,0.4,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.4,0.4,0.4,0.4
1998/1/1,萬里,NMHC,1.2,0.9,0.7,0.8,0.5,0.6,0.4,0.5,0.3,0.6,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2
1998/1/1,萬里,NO,53.9,35.3,27.3,#,20,19.5,3.1,9.5,7.7,17.3,4.6,0.4,0.3,0.2,0,0.1,0.2,0,0,0,0,0,0,0
1998/1/1,萬里,NO2,38.6,35.3,30.9,#,24.8,26.2,21.4,26.3,21.3,29.4,15.2,5.6,5.7,4.9,2.8,3.3,3.5,3.4,3,2.2,2.4,2.2,2.3,1.8
1998/1/1,萬里,NOx,92.5,70.6,58.2,#,44.8,45.7,24.5,35.7,29,46.7,19.7,6,6,5.2,2.8,3.3,3.7,3.4,3,2.3,2.4,2.2,2.3,1.8
1998/1/1,萬里,O3,4.1,3.2,2.5,2.6,1.7,1.7,#,5.8,14.3,12.3,29.4,42.7,41.8,44.3,52.9,40,34.9,37.8,43,45,43.5,42.5,40.8,39.6
1998/1/1,萬里,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,萬里,PM10,37,53,65,59,55,49,60,61,70,90,92,89,61,38,37,37,51,51,47,59,70,77,83,90
1998/1/1,萬里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
