日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,觀音,AMB_TEMP,18.1,18,18.2,18.1,18,17.9,17.8,17.6,18.3,19.2,20,21.1,20.4,19.6,19.5,19.3,18.9,18,17.5,17.2,16.9,16.8,16.7,16.8
1998/1/1,觀音,CH4,2.4,2.4,2.1,2.2,2,1.9,1.8,1.8,2,2,2,2,2.1,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2
1998/1/1,觀音,CO,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.6
1998/1/1,觀音,NMHC,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1998/1/1,觀音,NO,0,0,0,#,0,0.5,0,0,0.1,0.8,1.8,0.8,0.2,0,0,0,0,0.1,0,0,3.2,7.5,1.5,2.1
1998/1/1,觀音,NO2,3.6,4.2,6,#,5.7,11,7.5,4.2,5,9.2,12.4,7.2,4.9,3.7,3.7,4.6,5.1,6.9,4.8,9.3,21.4,26.8,17.5,12.3
1998/1/1,觀音,NOx,3.6,4.2,6,#,5.7,11.5,7.5,4.2,5.1,10,14.2,8,5.1,3.7,3.7,4.7,5.1,7,4.8,9.3,24.6,34.3,19,14.4
1998/1/1,觀音,O3,33.7,29.5,27.6,24.1,29.5,16.8,#,32.9,32.2,28.6,27.9,41.2,48.7,52.2,53.8,51.8,40.9,30.7,35.1,33.8,22.4,15.8,25.5,30.4
1998/1/1,觀音,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,觀音,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/1,觀音,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,觀音,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,觀音,SO2,0.8,0.8,1.1,1.1,1.6,1.3,1.6,1.5,2.6,4.3,7,6,2.7,1.8,1.4,1,1.2,1.9,1.3,7.1,12.2,16.3,11.9,8.3
1998/1/1,觀音,THC,2.4,2.5,2.2,2.3,2.1,2,1.9,1.8,2.1,2.1,2.1,2.1,2.1,2.1,2.3,2.3,2.2,2.3,2.2,2.3,2.2,2.2,2.2,2.3
1998/1/1,觀音,WIND_DIREC,263,260,217,238,999,261,305,322,315,203,214,325,4,34,52,52,59,60,59,62,68,68,69,62
1998/1/1,觀音,WIND_SPEED,0.1,0.5,0.2,0.8,0,0.9,1,2.4,2.5,1,0.8,2.8,4.8,3.6,4.5,4.9,6.7,8.3,8.4,7.8,6.7,5.4,5.9,7.1
1998/1/2,觀音,AMB_TEMP,16.9,16.9,16.9,16.9,17,17.2,17.3,17.4,17.8,18.6,19.4,19.9,20,20.1,20,19.6,19,18.6,18.7,18.7,18.7,18.7,18.9,18.9
1998/1/2,觀音,CH4,2.2,2.2,2,2.1,2,1.8,1.8,1.9,2,2,2,1.7,1.7,1.6,#,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9
1998/1/2,觀音,CO,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5
1998/1/2,觀音,NMHC,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0
1998/1/2,觀音,NO,0,0,0,#,0.7,0,0,4.7,12.1,0.8,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.1
1998/1/2,觀音,NO2,3.2,2.7,2.8,#,11.7,4,4.3,18.5,28.9,9.6,7.3,5,3.3,2.7,2.9,3.1,3.4,4.2,4,3.2,2.8,3.5,4,4.7
1998/1/2,觀音,NOx,3.2,2.7,2.8,#,12.4,4,4.3,23.2,41,10.4,7.9,5.2,3.3,2.8,2.9,3.1,3.4,4.2,4,3.2,2.8,3.5,4.2,4.8
1998/1/2,觀音,O3,38.5,39.6,39.7,39.8,31.8,39.5,#,24.3,14.4,32.4,35.1,40.2,43.7,43.9,44.2,44.6,43.1,40.4,38.8,39.1,39.2,38.1,38.1,36.7
1998/1/2,觀音,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,觀音,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/2,觀音,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,觀音,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,觀音,SO2,1.9,1,1.1,1.9,9.3,2.3,2.4,10.4,17.4,9.7,5.4,2.1,1.1,0.7,#,0.6,0.7,0.7,0.6,0.1,0.1,0.2,0.8,1
1998/1/2,觀音,THC,2.3,2.3,2,2.1,2,1.8,1.8,1.9,2,2,2,1.7,1.7,1.6,#,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.8,1.9
1998/1/2,觀音,WIND_DIREC,58,54,56,60,64,57,58,67,70,58,55,50,43,45,48,53,53,55,54,55,52,55,52,50
1998/1/2,觀音,WIND_SPEED,8.2,7.7,6.8,6.1,4.7,5.5,5.9,4.5,5.3,5.5,6.2,7,7.6,7.5,7.3,6.9,7.1,6.3,5.6,5.6,5.3,5.3,5.4,5.1
1998/1/3,觀音,AMB_TEMP,18.9,19,19.1,19,18.2,18.1,18.5,18.8,20.2,21,21.4,21.6,20.5,20.8,19.9,19.5,19.3,18.5,18,18,17.9,18,17.9,17.9
1998/1/3,觀音,CH4,1.9,1.9,2.1,2.3,2.2,2.3,2.4,2.7,2.7,2.5,2.4,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.2,2.4,2.1
1998/1/3,觀音,CO,0.5,0.5,0.5,0.5,0.5,0.5,0.7,1.3,0.9,0.6,0.5,0.5,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,1,0.8
1998/1/3,觀音,NMHC,0,0,0,0.3,0.2,0.5,0.4,0.6,0.3,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2
1998/1/3,觀音,NO,0,0,0,#,0.1,3,8.4,28.5,22.9,7.2,1.5,0.4,0.9,0.4,0.1,0.9,0.8,0,0,0,0,0,0.3,0
1998/1/3,觀音,NO2,3.4,3.1,2.9,#,18.5,24.2,27.2,26.9,30,22.8,12.3,6.7,9.3,7.9,7,13,11.8,9,6.1,5.3,9.8,14.4,23.2,17.3
1998/1/3,觀音,NOx,3.4,3.1,2.9,#,18.6,27.2,35.6,55.4,52.9,29.9,13.8,7.1,10.2,8.3,7.2,13.9,12.6,9,6.1,5.3,9.8,14.5,23.6,17.4
1998/1/3,觀音,O3,37.2,37.6,35.4,20.3,11.9,4.5,#,3.8,7.2,20.3,33.2,41.1,47.2,51.2,57.5,49.4,51.3,47.1,46,43.8,36.1,27.6,12.1,24
1998/1/3,觀音,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/3,觀音,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/3,觀音,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/3,觀音,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/3,觀音,SO2,0.3,0.2,0.2,6.7,6,7.5,11.6,10.4,20.1,13.9,4.6,4.8,11,10.3,5.6,21.8,18,2.7,1.5,0.7,1.5,2.3,4.7,5.1
1998/1/3,觀音,THC,1.9,1.9,2.2,2.5,2.4,2.8,2.8,3.3,3,2.7,2.5,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.7,2.3
1998/1/3,觀音,WIND_DIREC,49,48,54,71,106,88,116,144,136,310,314,320,327,330,322,340,340,310,308,268,261,203,189,305
1998/1/3,觀音,WIND_SPEED,4.9,4.2,3.1,1.3,0.8,0.6,0.6,0.5,0.4,0.9,1.9,2.8,3.2,2.7,3.4,2.8,1.5,1.4,1,0.3,0.4,0.6,1.3,1.5
1998/1/4,觀音,AMB_TEMP,17.7,17.7,17.3,17,17.4,17.2,18.1,16.9,16.1,15.5,14.7,14.4,14.4,14.5,14.6,14,14.2,14.1,12.1,10.4,10.4,11.1,11.9,12.5
1998/1/4,觀音,CH4,1.9,1.9,2.1,2.3,2.4,2.5,2.3,1.9,1.9,2,1.9,1.8,1.8,1.8,1.7,1.8,1.8,1.9,1.9,2,2,1.9,1.9,1.8
1998/1/4,觀音,CO,0.7,0.6,0.6,0.7,0.8,0.9,0.8,0.7,0.6,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2
1998/1/4,觀音,NMHC,0.1,0.1,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998/1/4,觀音,NO,1.2,1.1,0,#,7.9,16.9,9.9,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0
1998/1/4,觀音,NO2,16.3,17,12.5,#,30.1,29.6,25,4.7,4,4.7,4.4,3.9,5.4,5.7,3.1,2.9,4.7,3.6,3.8,2.9,2.7,3,3.9,4.2
1998/1/4,觀音,NOx,17.5,18.1,12.5,#,38,46.4,34.9,4.7,4,4.7,4.4,4,5.5,5.8,3.2,3,4.7,3.6,3.8,2.9,2.8,3,3.9,4.2
1998/1/4,觀音,O3,25.9,24.8,22.5,10,2.2,1.6,#,33.6,34.7,33.1,35.8,34.7,34,33.7,36.7,37.7,35.3,34.9,30,32.4,32.8,33,32.3,32.4
1998/1/4,觀音,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/4,觀音,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/4,觀音,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.8,0.4,NR,NR,NR,NR
1998/1/4,觀音,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/4,觀音,SO2,15.6,17.9,6.1,15.5,22.8,15,9.9,2.1,2,3.4,1.6,0.9,3.1,3.1,0.2,0,1.4,0.5,0,0,0.1,0.1,0.8,1.4
