¤é´Á,´ú¯¸,´ú¶µ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,­]®ß,AMB_TEMP,18,18,18.1,17.8,17.6,17.5,17.1,17.6,17.9,17.6,18.2,19.5,21.6,21.7,21,20.9,20.4,19.4,18.7,18.4,17.9,17.3,16.8,16.5
1998/1/1,­]®ß,CO,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,0.9
1998/1/1,­]®ß,DEW_POINT,15.6,15.6,15.6,15.4,15.5,15.2,15,15.2,15.6,15.5,15.7,16.7,17.7,17.5,16.9,16.9,16.7,16.3,15.5,15.3,14.8,14.1,13.8,13.5
1998/1/1,­]®ß,NO,0.7,0.7,0.3,#,5.2,2.9,3.9,10.8,11.6,4.3,6.8,10.2,10.1,5.8,2.4,3.8,2.5,2.8,4.3,5,3.5,4.7,3.1,2.6
1998/1/1,­]®ß,NO2,17.9,14.8,16,#,23.4,18.4,22.7,20.1,21.7,18.8,19.4,22.5,23.7,25.3,17.6,27.3,28.7,33.5,38.9,35.5,24.6,25.3,26.2,26.5
1998/1/1,­]®ß,NOx,18.6,15.5,16.3,#,28.6,21.3,26.6,30.9,33.4,23.1,26.2,32.6,33.9,31.1,20,31.2,31.2,36.3,43.2,40.4,28,30,29.3,29.1
1998/1/1,­]®ß,O3,14.4,13.5,11.4,13,1.5,2.5,#,0,3.4,11.5,13.3,13.5,19.2,32.8,42.8,32.9,25.8,17.5,8,4.7,7.9,6.7,7.3,7.1
1998/1/1,­]®ß,PM10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/1,­]®ß,SHELT_TEMP,26.4,26.5,26.6,26.5,26.5,26.5,26.5,26.6,26.7,26.5,26.8,26.5,26.6,26.7,26.7,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.5,26.5
1998/1/1,­]®ß,SIGMA,21.8,32,14.7,999,27.6,999,41,999,20.6,13.4,16.3,19,21.8,14.7,16.1,13.4,13.3,13.3,13.3,13.3,11.8,11.8,13.3,14.5
1998/1/1,­]®ß,SO2,2.6,2.5,1.5,1,1.1,1.2,0.6,2,3.8,1.7,4.2,6.8,5.5,5.7,4.3,5.4,5.7,4.8,7.4,5.7,3,3.4,5,3.7
1998/1/1,­]®ß,WD_GLOBAL,271.3,277.6,219.5,308.9,124,340.8,91.8,329.6,7.4,356.5,14.9,9.3,66.2,356.8,15.5,4.5,21.4,24,21.6,18.4,24,13.4,20.4,16
1998/1/1,­]®ß,WIND_DIREC,260,233,220,888,145,888,125,888,14,357,10,8,67,357,19,2,25,26,24,23,25,14,25,25
1998/1/1,­]®ß,WIND_SPEED,0.2,0.3,0.1,0.3,0.4,0.4,0.3,0.4,0.8,1.4,1.1,1.3,0.8,3.3,2.3,2.6,2.4,2.4,1.9,2.4,2.1,1.7,1.8,1.4
1998/1/2,­]®ß,AMB_TEMP,16.1,16.1,16.3,16.4,16.3,16.1,16.2,16.5,17.2,18.1,19.8,21.4,22.5,21.4,21.4,20.8,20,19.2,18.6,18.1,18.1,17.9,17.6,17.3
1998/1/2,­]®ß,CO,0.8,0.8,0.7,0.6,0.6,0.6,0.7,0.9,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.8,1,1.3,2.1,3.6,3.6,3.5,1.6
