日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,台東,AMB_TEMP,20.3,20.2,19.7,19.4,19.2,18.8,18.8,20.5,22.7,24.3,25.8,26,26,25.2,24.9,24.2,23.9,23.6,23.2,23,22.2,21.9,21.7,21.4
1998/1/1,台東,CH4,2.2,#,2.3,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2.1,2.2,2.2,2.1,2.2,2.2,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.2
1998/1/1,台東,CO,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.5,0.4,0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4
1998/1/1,台東,DEW_POINT,15.4,15.4,15.4,15.2,15.3,14.6,14.3,15.3,16.4,18,19.5,19.9,19.8,19.3,19.4,19.4,18.9,18.8,18.8,18.7,18.6,17.9,17.7,17.2
1998/1/1,台東,GLOB_RADIA,0,0,0,0,0,0,0,0.2,0.4,0.4,0.7,0.8,0.8,0.6,0.4,0.1,0,0,0,0,0,0,0,0
1998/1/1,台東,NET_RADIA,0,0,0,0,0,0,0,0.1,0.2,0.3,0.5,0.6,0.6,0.5,0.3,0.1,0,0,0,0,0,0,0,0
1998/1/1,台東,NMHC,0.2,#,0.1,0.1,0.1,0.1,0.1,0.6,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1
1998/1/1,台東,NO,1.8,0.6,0.6,#,1,0.3,1.1,3.9,8.2,4.9,2.6,3,2.3,2.1,2.2,2.5,2.6,2.3,1.1,3.3,0.7,0.8,0.2,0.2
1998/1/1,台東,NO2,12.2,9.8,9.4,#,6.7,5.9,5.6,7.7,10.3,10.5,8.5,7.3,6.5,5.4,6,7.3,8.9,9.7,8.7,10.1,6,6,4.3,3.4
1998/1/1,台東,NOx,14,10.4,10,#,7.7,6.2,6.7,11.6,18.6,15.4,11.1,10.3,8.8,7.4,8.2,9.8,11.5,12,9.9,13.5,6.7,6.8,4.6,3.6
1998/1/1,台東,O3,16.6,16.6,14.6,15.3,13.8,10.9,11.1,10.5,12.7,22.4,30,31.7,32.5,32.7,31.9,30.2,29.2,29.4,28.7,30.3,45,45,41.6,36.6
1998/1/1,台東,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,台東,PM10,34,19,22,14,21,11,11,11,19,19,19,27,28,30,18,27,22,17,19,11,18,27,30,28
1998/1/1,台東,PRESSURE,762.1,762.1,761.9,761.6,761.5,761.6,761.9,762.2,762.6,762.7,762.3,761.7,760.8,760.3,760.2,760.4,760.9,761.5,761.9,762.5,762.8,763,762.9,762.8
1998/1/1,台東,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,台東,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,台東,RAIN_INT,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,台東,SHELT_TEMP,27,27,27,27.2,26.9,27,27.1,27,27.2,27,27.1,27.1,27.2,27.3,27,27.1,27.1,27,27,26.9,27.2,27,27.1,27.2
1998/1/1,台東,SIGMA,16.1,14.7,16.1,16.1,17.6,14.7,14.7,14.7,17.6,999,35.4,17.6,17.6,11.8,15.8,16.1,16.1,14.7,17.6,16.1,17.6,16.1,14.7,19
1998/1/1,台東,SO2,0.1,0,0,0,0,0.1,0,0.2,0.6,0.5,0.5,0.3,0.1,0,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.1,0,0
1998/1/1,台東,THC,2.4,#,2.5,2.4,2.4,2.3,2.3,2.8,2.5,2.4,2.4,2.4,2.3,2.2,2.2,2.3,2.3,2.4,2.3,2.4,2.3,2.3,2.3,2.4
1998/1/1,台東,UBV_RADIA,5.4,5.2,4.9,5.1,4.6,5.3,9.6,59.8,141.2,177,287.3,381.8,380.9,288.3,191.4,77.9,33.9,7.9,5.4,5.3,5.1,5.2,5.1,5.3
1998/1/1,台東,WD_GLOBAL,311.1,302,304.1,300.5,310.2,298.2,300,302.8,315.3,318,123.8,103.8,86.6,61.4,63.8,42.5,25,23.2,6.3,16.4,6.8,11.9,355,5.6
1998/1/1,台東,WIND_DIREC,309,299,304,302,307,297,300,302,317,888,128,102,87,60,65,43,23,21,359,13,3,11,352,2
1998/1/1,台東,WIND_SPEED,0.9,1,0.9,1.2,1.3,1.8,1.8,1.5,1,0.4,0.9,1.5,1.8,2.3,2.3,2.3,2.4,2.7,1.8,2.5,3.3,3.4,2.5,3
1998/1/2,台東,AMB_TEMP,20.9,20.4,20.2,19.7,19.6,19.5,19.4,19.7,20.2,20.9,21.8,23,23.8,23.9,23.1,22.7,22.2,21.7,21.4,20.7,20.6,20.4,20.1,20.1
1998/1/2,台東,CH4,2.3,#,2.3,2.3,2.3,2.2,2.2,2.3,2.3,2.2,2.2,2.2,2.3,2.2,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2
1998/1/2,台東,CO,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.6,1,0.9,1.1,0.9,0.7,0.6,0.7,0.7,0.8,1.3,1.1,0.6,0.9,0.9,0.7,0.6
1998/1/2,台東,DEW_POINT,16.5,15.9,15.6,15.2,15,14.8,14.7,15,15.3,15.5,16,16.6,17.4,17.2,16.9,16.8,16.3,15.8,15.5,15.2,15.5,15.3,15.2,15.2
1998/1/2,台東,GLOB_RADIA,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.5,0.5,0.2,0.1,0,0,0,0,0,0,0,0
1998/1/2,台東,NET_RADIA,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.4,0.4,0.2,0.1,0,0,0,0,0,0,0,0
1998/1/2,台東,NMHC,0.1,#,0,0.1,0,0,0.1,0.1,0.4,0.4,0.4,0.4,0.2,0.2,0.3,0.3,0.3,0.6,0.5,0.2,0.4,0.3,0.3,0.2
1998/1/2,台東,NO,0.5,0.5,0.6,#,0.3,0.2,1.1,1.8,4.8,6,6,4.2,3.8,2.8,3.1,2.7,3.7,8.2,9,2.5,6.5,6.9,5,1.9
1998/1/2,台東,NO2,4.5,5.1,4.7,#,3.7,3.7,5.9,9.1,14.4,13.1,15.2,12.9,10.6,9.6,11.4,12.3,15.8,22.9,21.8,12,17.1,16.2,13.5,9.8
1998/1/2,台東,NOx,5,5.6,5.3,#,4,4,7,10.9,19.2,19,21.3,17.1,14.4,12.4,14.5,15,19.6,31.1,30.8,14.5,23.7,23.1,18.5,11.7
1998/1/2,台東,O3,31.3,26.4,27.8,29.1,30.2,32.7,30.9,28.8,24.3,#,25.1,29.5,35.3,38.8,36.7,33.5,25.7,17.7,17,23.8,17.3,17.5,18.6,20.9
1998/1/2,台東,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,台東,PM10,30,25,17,16,20,11,29,18,26,37,36,36,25,30,35,29,45,44,44,44,32,22,28,31
1998/1/2,台東,PRESSURE,762.8,762.8,762.7,762.7,762.9,763.5,764.1,764.7,765.2,765.4,765.3,764.8,763.8,763.3,763.2,763.5,764,764.5,764.7,764.7,765,764.9,764.7,764.5
1998/1/2,台東,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,台東,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,台東,RAIN_INT,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,台東,SHELT_TEMP,27.1,27,27,27.2,26.9,27.2,26.9,26.9,27,27.1,27,27.2,27.2,27.2,27,27.2,27.2,27,27,27.1,27,27,27.1,27
1998/1/2,台東,SIGMA,20.4,17.6,19,15.8,17.6,19,19,17.6,19,17.6,19,21.8,19,17.6,17.6,17.6,16.1,17.6,17.6,14.7,17.6,16.1,19,17.6
1998/1/2,台東,SO2,0,0,0,0,0.1,0.1,0.2,0.4,1.1,1.2,1.2,1,0.5,0.3,0.6,0.7,0.9,1.6,1,0.3,0.5,0.6,0.5,0.3
1998/1/2,台東,THC,2.4,#,2.3,2.3,2.3,2.3,2.3,2.4,2.7,2.5,2.7,2.6,2.4,2.4,2.5,2.6,2.6,2.9,2.7,2.4,2.6,2.5,2.6,2.4
1998/1/2,台東,UBV_RADIA,5,4.9,4.7,4.5,4.5,4.3,6.2,33.2,65.9,113.9,125.2,160.5,258.3,252,123,64.9,24.1,5.9,4.4,4.5,4.2,4.3,4.6,4.2
1998/1/2,台東,WD_GLOBAL,343,321.6,325.6,319.3,321.3,319.3,318.8,320.7,320.2,320.4,318.4,339.9,25.8,33.1,30,14.3,344.3,324.2,318.4,331.5,318.7,315.9,317.8,316.4
1998/1/2,台東,WIND_DIREC,337,323,325,321,324,322,323,324,323,324,314,332,26,31,25,10,342,325,319,337,321,317,316,317
1998/1/2,台東,WIND_SPEED,2,1.3,1.3,1.8,1.9,2,2.3,2.3,2.2,2.3,1.7,1.1,2.3,2.6,2.3,1.9,1.3,0.9,1.1,1.5,1.1,1.6,1.5,1.5
1998/1/3,台東,AMB_TEMP,19.5,19,18.8,18.6,18.4,18.4,18.6,20.4,22.5,24.5,25.5,25.8,25.8,26,25.5,24.9,23.8,23.5,23.1,22.5,21.9,21.9,21.4,21.2
1998/1/3,台東,CH4,2.3,#,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.1,2.2,2.1,2.2,2.1,2.2,2.2,2.3,2.2,2.3,2.2
1998/1/3,台東,CO,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.6,1,1,0.8,0.8,0.7,0.5,0.5,0.5,0.8,0.7,1.1,1.2,1.3,1.2,1.3,0.8
1998/1/3,台東,DEW_POINT,15.3,14.8,14.5,14.3,14.2,14,14.1,14.8,15.3,16.7,18.1,18.8,19.1,19.4,19.3,19.4,19.4,19,18.8,18.5,18.3,17.6,17.2,17.1
1998/1/3,台東,GLOB_RADIA,0,0,0,0,0,0,0,0.1,0.4,0.7,0.9,1,1,0.9,0.5,0.3,0,0,0,0,0,0,0,0
1998/1/3,台東,NET_RADIA,0,0,0,0,0,0,0,0.1,0.2,0.4,0.6,0.7,0.8,0.7,0.4,0.2,0,0,0,0,0,0,0,0
1998/1/3,台東,NMHC,0.1,#,0,0,0,0.1,0.1,0.1,0.5,0.5,0.2,0.2,0.2,0.1,0.1,0.1,0.3,0.2,0.4,0.4,0.6,0.5,0.5,0.3
1998/1/3,台東,NO,1.2,1,0.7,#,0.5,0.4,1.8,6.1,11.5,7.9,5.6,5.2,3,1.6,1.2,0.7,1.1,0.1,0.2,1.3,5.2,8.5,17.7,3.5
1998/1/3,台東,NO2,7.9,6.3,6.1,#,5.5,5.7,7.6,8.7,12.2,12.2,10.4,10.9,8.5,6.8,6.8,6.5,13.4,11.6,23.2,28.3,31.1,24.8,26.4,17.5
1998/1/3,台東,NOx,9.1,7.4,6.8,#,6,6,9.5,14.9,23.7,20.2,16,16.2,11.5,8.4,7.9,7.2,14.5,11.7,23.4,29.6,36.3,33.3,44.1,21
1998/1/3,台東,O3,19.4,18.1,16.3,16.3,14.6,13.8,11.6,12,14.2,23.9,33,35.8,39,46.2,47.1,47.7,36.6,37.7,25.7,16.9,7,7.8,3.8,9.5
1998/1/3,台東,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/3,台東,PM10,26,31,25,27,24,34,28,32,46,36,36,29,28,25,18,26,28,22,34,40,43,54,48,40
1998/1/3,台東,PRESSURE,764.3,763.9,763.8,763.6,763.7,764.1,764.6,764.9,765.1,765.1,764.8,764,763.3,762.6,762.2,762.1,762.4,762.7,763.1,763.5,763.6,763.6,763.4,763.1
1998/1/3,台東,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/3,台東,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/3,台東,RAIN_INT,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/3,台東,SHELT_TEMP,27,27.2,26.9,27,27,27.1,26.9,27.2,27.1,27.1,27.2,27.2,27.2,27.2,27.1,27,27.1,27.2,27.2,27.1,27.1,27.1,27,27.1
1998/1/3,台東,SIGMA,19,17.6,16.1,19,19,14.7,19,17.6,17.6,33.2,16.1,14.7,16.1,20.4,20.4,23.2,23.2,36.8,33.5,10.4,10.4,16.1,13.3,17.6
1998/1/3,台東,SO2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.6,1.2,1,0.6,0.6,0.4,0.3,0.3,0.4,1.2,0.6,1.1,1.2,1.2,1.1,1.7,0.5
1998/1/3,台東,THC,2.4,#,2.3,2.3,2.3,2.2,2.3,2.3,2.7,2.7,2.3,2.4,2.4,2.2,2.3,2.2,2.5,2.4,2.6,2.7,2.8,2.7,2.8,2.4
1998/1/3,台東,UBV_RADIA,4.6,4.2,4.1,4.5,4.3,4.7,8.3,57.8,145,251.3,363.6,442.6,459.9,394.4,255,129.3,25.4,7.2,4.6,4.4,4.3,4.3,4.2,4.3
1998/1/3,台東,WD_GLOBAL,316.9,315,314,313.4,311.8,309.1,312.3,315.8,317.8,1.2,52.7,64.3,83.6,107.3,114.3,143,181.9,221.6,217.1,300.3,296.1,299.5,304.7,307.7
1998/1/3,台東,WIND_DIREC,318,314,314,309,312,307,309,316,319,357,59,65,83,107,113,138,186,245,272,297,296,295,303,305
1998/1/3,台東,WIND_SPEED,1.8,1.9,1.9,1.7,1.6,1.2,1.1,2,1.7,1.2,1.9,2.3,2.4,2.2,1.8,1.3,1.5,0.7,0.1,0.6,0.8,0.8,1,0.9
1998/1/4,台東,AMB_TEMP,21,21.2,21,20.5,20.1,19.9,19.9,20.7,22.9,25.5,27,27.2,26,24.8,23.8,22.6,21.3,20.8,20.7,20.3,19.6,19.4,19.1,18.6
1998/1/4,台東,CH4,2.2,#,2.3,2.3,2.3,2.2,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
1998/1/4,台東,CO,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.2
1998/1/4,台東,DEW_POINT,16.3,15.4,14.9,14.1,14,13.6,13.5,13.7,14.4,15.4,17.3,18.6,18.8,18.8,18.5,17.2,16.3,15.9,15.8,15.4,15.4,15,14.4,14
1998/1/4,台東,GLOB_RADIA,0,0,0,0,0,0,0,0,0.4,0.7,0.8,0.9,0.9,0.8,0.6,0.4,0.1,0,0,0,0,0,0,0
1998/1/4,台東,NET_RADIA,0,0,0,0,0,0,0,0.1,0.2,0.4,0.6,0.7,0.7,0.6,0.5,0.3,0.1,0,0,0,0,0,0,0
1998/1/4,台東,NMHC,0.1,#,0,0.1,0,0,0,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0
1998/1/4,台東,NO,1.5,0.5,0.3,#,0.4,0.6,0.9,2.3,4,4.5,4.1,2.6,1.9,1.4,1.8,1.5,1.3,0.9,0.6,0.8,0.6,1.1,0.3,0.2
1998/1/4,台東,NO2,12,6.4,4.4,#,3.9,3.9,4.8,6.8,8.4,10.7,10.4,8.9,7.7,7,7.2,5.9,6.8,6.8,6.4,6.4,5.2,6.4,4.1,2.7
1998/1/4,台東,NOx,13.5,6.9,4.7,#,4.3,4.5,5.7,9.1,12.4,15.3,14.5,11.5,9.6,8.3,9,7.4,8.1,7.7,7,7.2,5.7,7.5,4.4,2.9
1998/1/4,台東,O3,12.7,21.1,23.6,23.2,21.9,20.9,19.7,21.3,22.6,25.1,35,42.3,48.4,51.1,44.2,41.7,39,37.5,36.5,33.6,34.3,31.9,34.1,33.5
1998/1/4,台東,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/4,台東,PM10,37,25,20,22,15,11,24,11,20,25,20,20,28,47,59,81,73,53,41,34,24,16,11,11
1998/1/4,台東,PRESSURE,763,762.8,762.3,762.3,762.6,763,763.5,763.9,764.4,764.7,764.6,764.1,763.6,763.2,763,763.3,764,764.7,765.3,766.1,766.4,766.7,766.8,766.8
1998/1/4,台東,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/4,台東,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/4,台東,RAIN_INT,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/4,台東,SHELT_TEMP,27.1,26.9,27.1,27.1,27,27.1,26.9,27.2,27,27.2,27.1,27.1,27.1,27.2,27,26.9,27.1,27.2,27,27,27,27,27,27.1
1998/1/4,台東,SIGMA,13.3,17.6,16.1,16.1,17.6,17.6,17.6,17.6,16.1,16.1,24.7,16.1,16.1,16.1,16.1,14.7,16.1,17.6,17.6,17.6,13.3,16.1,16.1,17.6
1998/1/4,台東,SO2,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.3,0.7,0.6,0.5,0.4,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0,0,0,0
1998/1/4,台東,THC,2.3,#,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.4,2.4,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3
1998/1/4,台東,UBV_RADIA,4,4.1,4.1,4.2,4.3,4.4,7.9,31.6,121,241.1,335.4,407.1,426.6,350.7,248.8,135.1,45.6,8,5.7,5.5,5.5,5.4,5.2,5.4
1998/1/4,台東,WD_GLOBAL,297.8,308.5,310.6,302.5,312.8,316,317.4,318,323.9,325.5,27.9,42,34.2,31.1,28.9,24,23.3,13.6,1,354.9,355.9,354,359.8,11.2
1998/1/4,台東,WIND_DIREC,296,305,308,302,309,316,316,316,327,328,34,45,34,30,30,24,22,10,359,352,354,350,358,7
