日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,新營,AMB_TEMP,19.1,19.5,19.2,18.8,18.5,18.4,18.2,18.9,21.9,26.3,28.7,30.2,31.6,30,27.8,26.9,25.2,23,21.6,20.5,19.8,19.3,18.9,18.6
1998/1/1,新營,CH4,2.4,2.4,2.4,2.5,2.6,2.8,2.6,2.7,2.8,2.4,2.2,2.2,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.5
1998/1/1,新營,CO,0.7,0.8,0.6,0.6,0.6,0.6,0.7,1.1,1.2,0.7,0.6,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.8,0.8
1998/1/1,新營,NMHC,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0.2,0.1
1998/1/1,新營,NO,0.6,4.4,4.5,5.4,9.3,6,#,39.3,29.6,5.9,0.6,1.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.2,1.2,4
1998/1/1,新營,NO2,24.9,29.2,27.6,25.6,24.1,21.7,#,26.5,33,22.7,14.2,15.2,8.8,11.8,14.7,14.2,14.6,18.4,22.4,20.1,19.3,22.6,31.1,32.4
1998/1/1,新營,NOx,25.5,33.7,32.1,31.1,33.4,27.7,#,65.8,62.6,28.6,14.8,16.3,8.8,11.9,14.8,14.3,14.7,18.5,22.5,20.1,19.4,22.7,32.3,36.4
1998/1/1,新營,O3,5.7,1.4,#,0.4,1,0.3,0.6,2.4,7.7,39.7,68.1,65.5,74.7,91.9,94.2,85.1,69.1,42.6,36.1,36,30.2,21.3,8.3,3.5
1998/1/1,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,新營,PM10,81,81,71,102,85,103,123,113,104,125,105,62,54,54,59,94,95,96,96,90,74,73,62,70
1998/1/1,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,新營,SO2,4,4.8,3.7,3.3,3.6,4.4,5,6.6,7.7,5.7,3.9,6.5,3.2,4.2,4.6,4,4.2,2.9,3.7,4.9,4.1,3.6,5.4,5.2
1998/1/1,新營,THC,2.6,2.7,2.5,2.5,2.6,2.8,2.8,3.2,3.3,2.6,2.2,2.3,2.1,2.3,2.3,2.2,2.2,2.3,2.4,2.4,2.4,2.5,2.6,2.6
1998/1/1,新營,WIND_DIREC,39,307,2,6,312,330,34,21,25,8,358,328,323,305,308,326,349,349,349,348,353,355,351,330
1998/1/1,新營,WIND_SPEED,1.1,0.7,0.9,1.2,0.8,0.8,0.7,0.9,1,1.7,2,1.7,1.4,3.2,3.8,3.2,3.2,2.7,2.6,2.3,1.8,1.1,0.6,0.8
1998/1/2,新營,AMB_TEMP,18.1,17.8,17.7,17.5,17.1,17,17,17.2,19,21.9,24.2,26.8,29,29.3,27.8,25.4,23.8,22.2,21,20.4,20,19.4,18.9,18.7
1998/1/2,新營,CH4,2.7,2.6,2.5,2.4,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.3,2.1,2.1,2.2,2.1,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3
1998/1/2,新營,CO,0.7,0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.1,0.9,0.7,0.7,0.7,0.7,0.9,1,0.9,0.9,0.9,0.9,0.9,0.8
1998/1/2,新營,NMHC,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1998/1/2,新營,NO,3.2,6.6,2.4,5.7,6.6,5.6,#,11.9,17.2,17.3,9.1,3,0.9,0.9,0.4,0.1,0,0,0.3,0.3,0.4,0.5,2.4,5.7
1998/1/2,新營,NO2,27.9,28.6,24,25.8,30.1,26.7,#,22.9,23.9,31.6,31.2,23.3,17.9,19.3,16.2,14.2,18.8,26.5,36.9,27,28.2,28,33.1,34.8
1998/1/2,新營,NOx,31.1,35.2,26.4,31.6,36.7,32.3,#,34.8,41,49,40.3,26.3,18.7,20.2,16.5,14.3,18.8,26.5,37.2,27.2,28.7,28.6,35.5,40.5
1998/1/2,新營,O3,2.1,0.8,#,1.3,1.6,1.2,0.8,3.4,7.5,16.3,31.3,53.3,72,71,73.3,76.6,67.8,46,22.8,24.7,14.9,10.9,3.6,1.3
1998/1/2,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,新營,PM10,84,100,100,69,48,18,17,29,50,69,86,112,96,111,108,110,109,103,123,122,119,116,102,93
1998/1/2,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,新營,SO2,5.1,7.6,4.1,16.5,27.8,13.2,8.6,7,10.2,8,9.7,6.8,6.7,12.6,10.2,5.6,5.3,5.6,20,10.5,8.1,6.4,7.3,8.3
1998/1/2,新營,THC,2.8,2.6,2.5,2.4,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.4,2.2,2.2,2.2,2.1,2.2,2.4,2.3,2.4,2.4,2.4,2.4,2.4
1998/1/2,新營,WIND_DIREC,324,351,355,354,354,356,360,348,7,360,345,340,333,318,315,341,348,343,347,349,349,351,348,351
1998/1/2,新營,WIND_SPEED,1.5,1.8,1.9,2.1,2.5,1.8,1.4,2.1,2.7,2,2.3,2,1.8,2,3.2,3.5,3,2.2,2.2,2,1.9,1.5,1,1.4
1998/1/3,新營,AMB_TEMP,18.4,18,17.8,17.6,17.2,17.1,17,17.8,20.4,23.5,26.9,28.9,30.5,29.6,29.3,28.1,26.3,24,22.9,21.7,21,20.5,20.2,19.8
1998/1/3,新營,CH4,2.4,2.4,2.5,2.5,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.4,2.3,2.2,2.2,2.2,2.3,2.3,2.2,2.3,2.4,2.4,2.4,2.6
1998/1/3,新營,CO,0.8,0.8,0.9,0.9,1,1.1,1,1.3,1.5,1.4,1.3,1,0.8,0.8,0.7,0.8,0.9,1,1,0.9,1.1,1.1,1.2,1.3
1998/1/3,新營,NMHC,0.1,0.1,0.3,0.4,0.4,0.4,0.4,0.7,0.7,0.5,0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.4
