日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,林園,AMB_TEMP,21.3,21.2,21.3,20.8,20.3,20.9,21.3,21.7,23.1,24.6,26.5,27.8,27.7,27.7,27.3,26.8,25.9,24.8,24.1,24.1,23,22.4,22.2,21.3
1998/1/1,林園,CH4,2.6,2.4,2.4,2.4,2.5,2.3,2.4,2.4,2.4,2.3,2.1,2.1,2,2,2,1.9,2,1.9,2,2.2,2.3,2.2,2.3,2.2
1998/1/1,林園,CO,1,0.6,0.7,0.7,0.6,0.7,0.9,0.8,0.8,0.6,0.5,0.5,0.4,0.2,0.2,0.2,0.3,0.4,0.6,0.7,0.5,0.5,0.6,0.6
1998/1/1,林園,NMHC,0.7,0.4,1.5,0.8,0.6,0.9,1.1,0.9,1,0.7,0.6,0.6,0.5,0.3,0.3,0.4,0.4,0.5,0.8,1.1,1,1.3,1.1,0.6
1998/1/1,林園,NO,1.1,0.4,11.4,#,0.1,0.3,6.8,2,3.6,1.4,0.4,0.3,0,0,0,0,0,0,0,2.1,3.4,9.5,4.1,0
1998/1/1,林園,NO2,30.8,18.8,26.5,#,21,17.4,26.4,25,28.9,23.3,18.3,20.9,12.4,6.5,7.9,8.7,7.5,8,24,33.8,35.3,35.7,30.8,21.5
1998/1/1,林園,NOx,31.8,19.1,37.9,#,21,17.8,33.2,27.1,32.5,24.7,18.8,21.2,12.4,6.5,7.9,8.7,7.5,8,24,36,38.8,45.3,34.8,21.5
1998/1/1,林園,O3,11.1,18.8,11.6,8.6,11.5,18.3,#,17.8,26,40.6,54.5,62.4,65.3,42.8,53.7,59,56.1,47.6,37.9,24.6,23.7,11.9,21.6,18
1998/1/1,林園,PM10,161,185,162,151,149,149,141,118,132,156,153,128,107,82,43,15,13,13,24,30,70,94,79,78
1998/1/1,林園,PM2.5,57.1,63.9,73.8,78.9,73,66,63.6,61.9,59.9,57,54.1,46.1,39.8,41.4,47.6,49.4,41.8,35.8,33.1,37.5,44.7,51.5,50.8,46.2
1998/1/1,林園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,林園,SO2,5.7,7.1,22.1,12,7.1,9.8,22.8,18.1,25.4,17.9,15.5,10.2,5.7,3,4.1,2.4,1.9,1.9,16.9,47.2,50.1,22.5,13.6,8.2
1998/1/1,林園,THC,3.2,2.8,3.9,3.3,3.1,3.2,3.5,3.4,3.4,3,2.7,2.7,2.5,2.3,2.3,2.3,2.3,2.4,2.8,3.2,3.3,3.5,3.3,2.9
1998/1/1,林園,WIND_DIREC,84,82,54,71,63,62,60,53,58,74,82,298,299,302,300,310,312,314,314,43,42,41,79,86
1998/1/1,林園,WIND_SPEED,2.3,1.6,1.5,2.6,2.7,3.7,2.7,2.5,2.7,2.9,2.8,2.2,3.9,4.1,4.2,4.1,3.5,2.2,1.6,3.7,4.4,3.1,1.7,1.4
1998/1/2,林園,AMB_TEMP,21,21.1,21.4,20.8,20,19.9,19.8,20.1,21.5,22.9,25.7,26,26.6,26.4,26.4,25.7,24.9,23.9,23.5,23.2,23,22.7,22,21.6
1998/1/2,林園,CH4,2.2,2.3,2.3,2.6,2.4,2.4,2.3,2.3,2.5,2.4,2.6,2.4,2.5,2.2,2.2,2.1,2.1,2,2,2,2,2.4,2.5,2.5
1998/1/2,林園,CO,0.8,0.7,0.6,0.8,0.8,0.8,0.8,0.7,0.8,0.7,0.6,1.3,1.4,1,1,0.8,0.6,0.6,0.5,0.7,0.7,1.2,1.1,1.1
1998/1/2,林園,NMHC,0.8,0.8,0.7,1.7,1.6,1.3,0.7,0.7,0.8,0.7,0.7,1,1.2,0.7,1,0.7,0.5,0.5,0.4,0.5,0.6,0.9,0.9,0.9
1998/1/2,林園,NO,0,0.1,0,#,43.3,30.2,6,6.2,6.1,6.2,2.5,2.5,0.9,0.8,0.8,0.3,0.3,0.3,0.2,0.2,0.2,1.7,1.5,0.7
1998/1/2,林園,NO2,26.3,26.3,19.5,#,38,32.8,27.6,23.1,22.7,26,21.8,52.3,62.2,39.4,34.2,19.5,14.5,12.5,9.7,10.8,14.5,42.8,44.7,38.3
1998/1/2,林園,NOx,26.3,26.3,19.5,#,81.4,63,33.6,29.3,28.8,32.2,24.3,54.8,63.1,40.2,35,19.9,14.7,12.8,9.9,11,14.7,44.5,46.3,39
1998/1/2,林園,O3,12.1,12.7,18.1,2.9,2.1,2.5,#,6.8,10.8,15,30.6,68.1,131.2,99.6,97,101.6,77.2,57.4,55.1,50.9,43.6,10.8,7.5,8.1
1998/1/2,林園,PM10,96,105,121,100,119,132,155,145,144,122,121,98,133,201,185,183,180,160,136,111,99,105,155,186
1998/1/2,林園,PM2.5,43.4,50.2,61.1,67.1,69.1,69.2,69.5,64.5,58.8,52.2,44.8,39.3,41.2,59,81.8,95.7,96.1,83.9,61.6,40.8,34.4,39.2,53.9,72.4
1998/1/2,林園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/2,林園,SO2,22.4,25.4,16.2,36.5,51.4,22.4,16.7,13.8,11.5,15.4,4.6,25.3,35,27,20.9,8.9,7.5,6.5,6,6.7,8.2,11,11.4,9.2
1998/1/2,林園,THC,3,3.1,3,4.3,4,3.7,3.1,3,3.2,3.1,3.3,3.5,3.7,3,3.2,2.9,2.5,2.5,2.4,2.5,2.6,3.2,3.4,3.4
1998/1/2,林園,WIND_DIREC,90,84,73,51,47,75,87,83,82,104,149,269,259,259,266,273,289,306,304,316,999,86,85,82
