¤é´Á,´ú¯¸,´ú¶µ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,¤g«°,AMB_TEMP,18.9,18.8,18.6,18.8,18.8,18.6,18.5,18.9,19.7,19.8,20.6,22.3,21.6,20.4,20.1,19.5,18.9,18.1,17.7,17.1,16.8,16.9,17,16.9
1998/1/1,¤g«°,CO,1.1,0.8,0.9,0.8,0.7,0.7,0.9,1.3,1.1,0.7,0.6,0.6,0.7,0.6,0.7,0.8,0.8,0.9,1,0.9,0.8,0.8,1,0.7
1998/1/1,¤g«°,NO,44.9,13.6,31.9,#,20.7,18.9,44,74.7,39.3,9.8,12.4,9.6,3.2,0.4,0.3,0.4,0.1,0.6,0.8,0,0,0.1,5,0
1998/1/1,¤g«°,NO2,23.8,20.8,20.3,#,19.8,19.1,17.6,19.4,22.7,17.5,17.6,18.6,19.6,10.8,14.8,18.5,15.5,15.2,13.5,12.5,12.7,10.4,13.9,10.2
1998/1/1,¤g«°,NOx,68.7,34.4,52.2,#,40.4,38,61.6,94.1,62,27.4,30,28.3,22.8,11.2,15.1,18.9,15.6,15.8,14.3,12.5,12.7,10.5,18.8,10.2
1998/1/1,¤g«°,O3,0,0.5,0.1,0.1,0.1,0,#,0.1,0.6,7.6,10.2,15.7,19.7,31.7,24.7,18.8,22.2,12.4,15.6,20.2,21.2,24.8,19,22.8
1998/1/1,¤g«°,PM10,104,90,84,74,82,101,106,106,114,125,103,88,73,68,67,60,53,43,41,31,34,37,37,36
1998/1/1,¤g«°,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,¤g«°,SO2,6.1,6.1,10.3,12,13.8,12.3,11.1,13,18.7,10.2,8.6,8.1,8.1,2.4,2.1,1.6,1.2,1.1,1.1,2.8,6.5,2.1,2.8,3
1998/1/2,¤g«°,AMB_TEMP,17,16.9,16.8,16.7,16.8,17,17.1,17.3,17.9,19,20,21,22,22.3,22.4,21.9,20.7,20,19.9,19.9,20,19.9,19.9,19.6
1998/1/2,¤g«°,CO,0.7,0.6,0.6,0.6,0.5,0.6,0.7,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.9,1,1.1,1,1.1,1.2,1.1,0.9
1998/1/2,¤g«°,NO,0,0,0,#,0,0,0.1,1.8,3.7,4.9,5,3.7,3.6,4.1,4.7,5.5,3.8,1.5,1.3,1.2,2,4.8,3.6,1.3
