日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,大寮,AMB_TEMP,21.8,21.6,21.2,20.9,20.5,20.2,20,20.9,23.8,26.4,28.6,30.1,30.3,30.8,30.5,30.1,28.3,25.8,24.4,23.8,22.8,22,21.6,21
1998/1/1,大寮,CH4,2.7,#,2.7,2.5,2.6,2.9,2.6,2.7,2.5,2.4,2.2,2,2.1,2,2,2,2.1,2.3,2.4,2.3,2.3,2.3,2.3,2.4
1998/1/1,大寮,CO,1.1,0.9,0.9,0.9,0.8,0.8,0.9,1,1,0.6,0.7,0.4,0.5,0.4,0.3,0.3,0.5,0.8,1.1,0.8,0.8,0.7,0.8,0.9
1998/1/1,大寮,NMHC,0.5,#,0.5,0.5,0.5,0.4,0.4,0.6,0.6,0.3,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.5,0.3,0.2,0.2,0.3,0.3
1998/1/1,大寮,NO,0.8,1.8,1.4,#,0.1,1.6,3,7.5,9.1,2.8,1.1,0.4,2,0.6,0.8,1.1,0.5,0,0.1,0,0,0.1,0.1,0.5
1998/1/1,大寮,NO2,31.5,31.1,29.9,#,23.6,25.5,27.5,28.8,34.3,20,17.1,8,22,13.5,10.3,11,14.6,21.2,33.5,30.7,20.7,19.6,25.5,28.9
1998/1/1,大寮,NOx,32.3,32.9,31.3,#,23.7,27,30.5,36.3,43.4,22.7,18.3,8.4,24,14.1,11.1,12,15.2,21.3,33.7,30.7,20.8,19.7,25.5,29.4
1998/1/1,大寮,O3,10,7,4.6,5.8,9.3,5.2,#,7.7,17.8,36.5,56.6,45.8,56.9,66.4,45.8,41.6,47.6,39.8,26,32.2,29.5,20.9,14.3,7.8
1998/1/1,大寮,PM10,185,178,186,182,169,177,171,156,95,122,256,145,113,82,34,33,75,52,30,15,12,12,#,321
1998/1/1,大寮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,大寮,SO2,7.8,52,6,10.5,5.9,6.1,7.7,8.3,37.7,18.2,7.1,2.8,17.2,7.2,3.1,2.5,3.3,2.7,3.2,4.9,4.8,4.6,4.6,4.3
1998/1/1,大寮,THC,3.2,#,3.1,3,3.1,3.3,3.1,3.3,3.1,2.7,2.5,2.1,2.3,2.2,2.2,2.2,2.3,2.6,2.8,2.6,2.5,2.5,2.6,2.7
1998/1/1,大寮,WIND_DIREC,46,359,340,13,42,342,343,344,359,7,360,334,339,299,279,284,293,312,294,338,328,338,343,337
1998/1/1,大寮,WIND_SPEED,1.3,0.4,1,0.8,1.2,1.4,1.2,1,1.5,2.9,2,2.1,2,2.1,3.3,3.1,2.5,1,0.9,2,1.8,1.8,1.3,0.8
1998/1/2,大寮,AMB_TEMP,20.6,20.6,20.2,19.8,19.4,18.9,19,19.8,22,23.6,25.6,27.7,29.5,29.1,27.7,26.6,25.5,24.6,24.2,23.8,23.2,22.6,22,21.5
