日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1998/1/1,橋頭,AMB_TEMP,20,19.4,19.6,19.7,19.4,19,18.7,19.8,23.2,25.8,27.4,28,29.1,29.1,28.3,27,26.5,24.8,23.4,22.3,21.3,20.4,19.9,19.5
1998/1/1,橋頭,CH4,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/1,橋頭,CO,0.9,0.8,0.8,0.8,0.8,0.8,0.9,1,1,0.8,0.6,0.5,0.5,0.5,0.4,0.4,0.6,0.9,0.9,0.7,0.8,0.9,1,0.9
1998/1/1,橋頭,NMHC,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/1,橋頭,NO,12.6,14.3,11.6,15.6,21.5,18.7,#,48.5,30.3,14.6,5,1.4,1.8,4.3,1,0.7,0.7,0.4,0.3,0.9,0.8,3.6,10.5,9
1998/1/1,橋頭,NO2,37.7,33.5,31,28.6,27.5,24.2,#,23.5,34.1,34.9,24.2,13.7,14.1,18.7,8.5,8,16.1,20.7,30.8,20,27.9,36.2,38.2,34.4
1998/1/1,橋頭,NOx,50.3,47.8,42.6,44.2,49,42.8,#,72,64.4,49.6,29.3,15.1,15.9,23,9.5,8.7,16.7,21.1,31.1,20.9,28.6,39.8,48.7,43.4
1998/1/1,橋頭,O3,1.1,0.5,#,1,0.4,0.4,0.3,#,8.5,27,51.1,68.2,66.4,52.5,66.4,65.8,68.7,56.9,44.9,35.5,19,7.5,3.5,4.1
1998/1/1,橋頭,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,橋頭,PM10,128,118,113,107,102,103,108,92,117,122,108,91,67,37,13,12,12,35,61,73,81,88,96,96
1998/1/1,橋頭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,橋頭,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1998/1/1,橋頭,SO2,9,7.3,5.6,4.1,3.5,3.6,4.5,5.5,5.6,5,4.8,5.7,8,13.1,3.4,2.4,5,3.4,4,4.6,4.3,5.3,5.9,8
1998/1/1,橋頭,THC,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1998/1/1,橋頭,WIND_DIREC,4,22,888,34,9,358,19,12,16,3,356,339,325,283,276,292,298,326,353,6,2,2,13,12
1998/1/1,橋頭,WIND_SPEED,2.6,1.9,0.3,1.7,0.9,1.1,1.3,1.8,1.7,2.8,2.4,2.2,2.6,3.6,4.4,4.3,2.5,2.4,2.5,2.7,2,1.5,1.5,2
1998/1/2,橋頭,AMB_TEMP,19,18.7,18.5,18.2,17.9,17.5,17.3,17.7,19.4,22.3,25.3,26.7,27.9,27.9,27.4,26.2,25.1,23.8,23,22.3,21.5,20.6,20,19.6
1998/1/2,橋頭,CH4,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.1,#,#,#,#,#,#,#
